lang,calculator,campaign,ad_group,utm_term,match_type,keyword
pt,protein-calculator,fit_pt_protein_longtail,proteina_diaria,calcular_proteina_diaria,phrase,"calcular proteína diária"
pt,protein-calculator,fit_pt_protein_longtail,proteina_por_peso,proteina_por_kg,phrase,"proteína por kg"
pt,protein-calculator,fit_pt_protein_longtail,proteina_ganhar_massa,proteina_para_ganhar_massa,phrase,"proteína para ganhar massa"
pt,macro-calculator,fit_pt_macros_longtail,macros_emagrecer,calculadora_macros_emagrecer,phrase,"calculadora macros emagrecer"
pt,macro-calculator,fit_pt_macros_longtail,macros_dieta,calcular_macros_dieta,phrase,"calcular macros dieta"
pt,macro-calculator,fit_pt_macros_longtail,macros_perder_gordura,macros_para_perder_gordura,phrase,"macros para perder gordura"
pt,calorie-calculator,fit_pt_calories_longtail,calorias_dia,calorias_por_dia,phrase,"quantas calorias por dia"
pt,calorie-calculator,fit_pt_calories_longtail,calorias_emagrecer,calorias_para_emagrecer,phrase,"calorias para emagrecer"
pt,calorie-calculator,fit_pt_calories_longtail,tdee,tdee_calculadora,phrase,"calculadora tdee"
en,protein-calculator,fit_en_protein_longtail,daily_protein,daily_protein_calculator,phrase,"daily protein calculator"
en,protein-calculator,fit_en_protein_longtail,protein_per_weight,protein_per_body_weight,phrase,"protein per body weight"
en,protein-calculator,fit_en_protein_longtail,protein_gain_muscle,protein_to_gain_muscle,phrase,"protein to gain muscle"
en,macro-calculator,fit_en_macros_longtail,macros_weight_loss,macro_calculator_weight_loss,phrase,"macro calculator weight loss"
en,macro-calculator,fit_en_macros_longtail,macros_diet,calculate_macros_diet,phrase,"calculate macros diet"
en,macro-calculator,fit_en_macros_longtail,macros_fat_loss,macros_for_fat_loss,phrase,"macros for fat loss"
en,calorie-calculator,fit_en_calories_longtail,calories_day,calories_per_day_calculator,phrase,"calories per day calculator"
en,calorie-calculator,fit_en_calories_longtail,calories_weight_loss,calories_for_weight_loss,phrase,"calories for weight loss"
en,calorie-calculator,fit_en_calories_longtail,tdee,tdee_calculator,phrase,"tdee calculator"
